text,label
"Vacinas causam autismo e são perigosas.",fake
"Ministério da Saúde confirma que vacinação reduz internações em 70%.",real
"Terremoto destruirá todo o Brasil na semana que vem, diz vidente.",fake
"Estudo revisado por pares aponta queda na poluição após novas leis ambientais.",real
"Beber água com limão cura todas as doenças.",fake
"Universidade Federal divulga pesquisa com metodologia transparente e dados abertos.",real
"Remédio milagroso emagrece 15 kg em uma semana sem dieta.",fake
"IBGE publica relatório anual com projeções de população e metodologia detalhada.",real
"Governador anuncia imposto secreto que começará amanhã sem aprovação.",fake
"OMS recomenda medidas baseadas em evidências para conter surtos.",real
"Alimento X ativa 100% do cérebro, diz celebridade.",fake
"USP lança plataforma que facilita reprodutibilidade de experimentos científicos.",real